Journal ISO4 Abbreviation,Year,Number of Patent-Cited Articles,Number of Non-Patent-Cited Articles,Total Number of Unique Patent Family Citations,Patent Impact Factor
Acta Biochim. Biophys. Sin. (Shanghai),2007,23,101,56,0.071823204
Acta Biochim. Biophys. Sin. (Shanghai),2008,29,94,106,0.067901235
Acta Biochim. Biophys. Sin. (Shanghai),2009,18,102,35,0.039014374
Acta Biochim. Biophys. Sin. (Shanghai),2010,22,94,30,0.045174538
Acta Biochim. Biophys. Sin. (Shanghai),2011,20,103,36,0.047619048
Acta Biochim. Biophys. Sin. (Shanghai),2012,16,105,22,0.03526971
Acta Biochim. Biophys. Sin. (Shanghai),2013,10,132,10,0.018672199
Acta Biochim. Biophys. Sin. (Shanghai),2014,18,126,23,0.041584158
Acta Biochim. Biophys. Sin. (Shanghai),2015,7,124,14,0.024344569
Acta Biochim. Pol.,1999,14,82,65,0.053672316
Acta Biochim. Pol.,2000,24,88,53,0.045212766
Acta Biochim. Pol.,2001,27,96,79,0.058968059
Acta Biochim. Pol.,2002,19,90,44,0.022624434
Acta Biochim. Pol.,2003,30,80,155,0.058558559
Acta Biochim. Pol.,2004,19,80,40,0.034408602
Acta Biochim. Pol.,2005,21,91,65,0.050660793
Acta Biochim. Pol.,2006,21,74,41,0.0248307
Acta Biochim. Pol.,2007,13,85,26,0.032634033
Acta Biochim. Pol.,2008,14,79,28,0.019512195
Acta Biochim. Pol.,2009,5,77,8,0.01
Acta Biochim. Pol.,2010,10,75,13,0.021680217
Acta Biochim. Pol.,2011,9,79,15,0.030726257
Acta Biochim. Pol.,2012,12,111,26,0.045977011
Acta Biochim. Pol.,2013,12,120,14,0.029100529
Acta Biochim. Pol.,2014,16,104,21,0.044392523
Acta Biochim. Pol.,2015,3,124,3,0.006465517
Acta Bioeng Biomech,2010,1,42,1,0.022222222
Acta Bioeng Biomech,2012,3,51,5,0.02484472
Acta Biomater,2006,28,45,102,0.75
Acta Biomater,2007,47,63,117,0.375886525
Acta Biomater,2008,95,122,242,0.373015873
Acta Biomater,2009,155,209,446,0.452025586
Acta Biomater,2010,203,326,562,0.395561358
Acta Biomater,2011,149,308,319,0.154411765
Acta Biomater,2012,165,288,285,0.119745223
Acta Biomater,2013,129,376,230,0.092971776
Acta Biomater,2014,109,388,182,0.072634271
Acta Biomater,2015,88,422,198,0.051482059
Acta Biotheor.,2001,2,24,4,0.020833333
Acta Biotheor.,2004,1,21,15,0.17721519
Acta Biotheor.,2006,1,17,1,0.012195122
Acta Biotheor.,2014,1,25,1,0.01
Acta Cardiol,1999,1,48,2,0.011627907
Acta Cardiol,2000,1,51,71,0.028248588
Acta Cardiol,2001,3,54,10,0.010526316
Acta Cardiol,2003,4,61,13,0.003759398
Acta Cardiol,2004,3,135,17,0.024734982
Acta Cardiol,2005,5,89,8,0.010752688
Acta Cardiol,2006,1,99,1,0.00243309
Acta Cardiol,2007,3,86,4,0.004889976
Acta Cardiol,2009,3,132,3,0.0025
Acta Cardiol,2010,3,111,3,0.006802721
Acta Cardiol,2014,1,109,1,0.002178649
Acta Chem. Scand.,1999,2,6,20,0.014925373
Acta Chim Slov,2010,7,124,9,1
Acta Chim Slov,2011,11,108,19,0.074074074
Acta Chim Slov,2012,3,126,4,0.011811024
Acta Chim Slov,2013,3,115,3,0.007874016
Acta Chim Slov,2014,3,108,3,0.004024145
Acta Chim Slov,2015,3,119,7,0.014675052
Acta Chir Orthop Traumatol Cech,2013,1,56,1,0.003367003
Acta Chir Orthop Traumatol Cech,2014,2,47,2,0.006944444
Acta Chir. Belg.,2003,4,150,4,0.003164557
Acta Chir. Belg.,2004,4,154,13,0.002469136
Acta Chir. Belg.,2005,4,146,8,0.004
Acta Chir. Belg.,2006,9,166,10,0.006837607
Acta Chir. Belg.,2008,2,181,2,0.001526718
Acta Chir. Belg.,2009,1,187,2,0.002949853
Acta Chir. Belg.,2010,2,137,3,0.002781641
Acta Cir Bras,2009,8,73,10,0.014675052
Acta Cir Bras,2010,4,89,4,0.002325581
Acta Cir Bras,2011,4,124,4,0.005089059
Acta Cir Bras,2012,3,156,3,0.002369668
Acta Cir Bras,2013,3,148,4,0.004255319
Acta Cir Bras,2014,3,160,3,0.005586592
Acta Cir Bras,2015,3,120,9,0.003294893
Acta Clin Belg,2014,1,99,1,0.00265252
Acta Clin Croat,2009,2,61,5,0.114285714
Acta Clin Croat,2011,1,88,1,0.005649718
Acta Clin Croat,2012,1,111,1,0.003745318
Acta Clin Croat,2013,1,75,1,0.00286533
Acta Clin Croat,2014,1,69,1,0.00280112
Acta Clin Croat,2015,1,84,1,0.00280112
Acta Crystallogr A Found Adv,2015,2,62,8,0.086956522
Acta Crystallogr B Struct Sci Cryst Eng Mater,2015,1,86,1,0.005747126
Acta Crystallogr C Struct Chem,2015,2,194,5,0.021276596
Acta Crystallogr C,1999,6,42,9,0.023809524
Acta Crystallogr C,2000,24,695,58,0.177142857
Acta Crystallogr C,2001,19,522,45,0.011918951
Acta Crystallogr C,2002,12,520,44,0.003720238
Acta Crystallogr C,2003,18,460,50,0.007608696
Acta Crystallogr C,2004,16,537,24,0.001321586
Acta Crystallogr C,2005,17,420,37,0.006178707
Acta Crystallogr C,2006,12,434,15,0.0015
Acta Crystallogr C,2007,8,438,10,0.003657262
Acta Crystallogr C,2008,3,325,3,0.001062699
Acta Crystallogr C,2009,5,323,7,0.001206273
Acta Crystallogr C,2010,9,271,14,0.003227889
Acta Crystallogr C,2011,4,230,4,0.002892263
Acta Crystallogr C,2012,9,221,9,0.005972696
Acta Crystallogr C,2013,9,338,11,0.006511628
Acta Crystallogr F Struct Biol Commun,2015,14,232,17,0.032258065
Acta Crystallogr Sect E Struct Rep Online,2007,9,524,9,0.666666667
Acta Crystallogr Sect E Struct Rep Online,2008,51,3250,63,0.037105751
Acta Crystallogr Sect E Struct Rep Online,2009,62,4122,90,0.01171875
Acta Crystallogr Sect E Struct Rep Online,2010,45,4073,58,0.004612316
Acta Crystallogr Sect E Struct Rep Online,2011,55,4085,68,0.002883982
Acta Crystallogr. D Biol. Crystallogr.,1999,69,323,208,0.09631728
Acta Crystallogr. D Biol. Crystallogr.,2000,61,279,209,0.05026178
Acta Crystallogr. D Biol. Crystallogr.,2001,77,304,248,0.047016275
Acta Crystallogr. D Biol. Crystallogr.,2002,79,363,268,0.039764359
Acta Crystallogr. D Biol. Crystallogr.,2003,68,391,210,0.027528809
Acta Crystallogr. D Biol. Crystallogr.,2004,64,431,455,0.0497543
Acta Crystallogr. D Biol. Crystallogr.,2005,45,182,187,0.034753363
Acta Crystallogr. D Biol. Crystallogr.,2006,35,150,184,0.027658267
Acta Crystallogr. D Biol. Crystallogr.,2007,19,130,97,0.032894737
Acta Crystallogr. D Biol. Crystallogr.,2008,26,122,157,0.054613936
Acta Crystallogr. D Biol. Crystallogr.,2009,20,134,52,0.026462396
Acta Crystallogr. D Biol. Crystallogr.,2010,20,138,342,0.197530864
Acta Crystallogr. D Biol. Crystallogr.,2011,27,97,155,0.128980892
Acta Crystallogr. D Biol. Crystallogr.,2012,20,164,51,0.056761269
Acta Crystallogr. D Biol. Crystallogr.,2013,30,230,73,0.078864353
Acta Crystallogr. D Biol. Crystallogr.,2014,24,285,41,0.039030956
Acta Crystallogr. Sect. F Struct. Biol. Cryst. Commun.,2007,32,247,119,0.115919629
Acta Crystallogr. Sect. F Struct. Biol. Cryst. Commun.,2008,32,261,46,0.028077754
Acta Crystallogr. Sect. F Struct. Biol. Cryst. Commun.,2009,18,311,45,0.018837019
Acta Crystallogr. Sect. F Struct. Biol. Cryst. Commun.,2010,17,350,36,0.012872084
Acta Crystallogr. Sect. F Struct. Biol. Cryst. Commun.,2011,21,357,33,0.013312451
Acta Crystallogr. Sect. F Struct. Biol. Cryst. Commun.,2012,20,334,25,0.012327774
Acta Crystallogr. Sect. F Struct. Biol. Cryst. Commun.,2013,13,310,16,0.004160888
"Acta Crystallogr., A, Found. Crystallogr.",2001,1,87,1,0.004807692
"Acta Crystallogr., A, Found. Crystallogr.",2003,4,61,63,0.031161473
"Acta Crystallogr., A, Found. Crystallogr.",2005,2,60,3,0.003115265
"Acta Crystallogr., A, Found. Crystallogr.",2006,2,47,20,0.040677966
"Acta Crystallogr., A, Found. Crystallogr.",2007,1,50,1,0.003773585
"Acta Crystallogr., A, Found. Crystallogr.",2008,6,67,55,0.039840637
"Acta Crystallogr., A, Found. Crystallogr.",2009,2,46,2,0.008474576
"Acta Crystallogr., A, Found. Crystallogr.",2010,3,67,3,0.009009009
"Acta Crystallogr., A, Found. Crystallogr.",2013,1,43,4,0.008163265
"Acta Crystallogr., B",1999,8,113,12,0.318181818
"Acta Crystallogr., B",2000,10,120,35,0.022556391
"Acta Crystallogr., B",2001,7,95,15,0.023346304
"Acta Crystallogr., B",2002,15,104,37,0.016806723
"Acta Crystallogr., B",2004,6,78,7,0.004608295
"Acta Crystallogr., B",2005,8,77,13,0.012919897
"Acta Crystallogr., B",2006,4,120,7,0.005390836
"Acta Crystallogr., B",2007,2,103,2,0.005319149
"Acta Crystallogr., B",2009,6,79,18,0.02244389
"Acta Crystallogr., B",2010,2,70,3,0.005
"Acta Crystallogr., B",2012,2,72,2,0.003367003
Acta Cytol.,1999,6,162,9,0.004995005
Acta Cytol.,2000,7,151,7,0.003921569
Acta Cytol.,2001,8,147,10,0.005107252
Acta Cytol.,2002,6,135,15,0.009345794
Acta Cytol.,2003,5,154,14,0.003816794
Acta Cytol.,2004,4,112,5,0.002557545
Acta Cytol.,2005,1,111,2,0.001360544
Acta Cytol.,2009,2,121,2,0.003149606
Acta Cytol.,2010,1,161,1,0.001564945
Acta Cytol.,2011,2,90,2,0.001410437
Acta Cytol.,2013,2,94,7,0.005181347
Acta Derm. Venereol.,1999,16,76,54,0.009536785
Acta Derm. Venereol.,2000,14,67,29,0.007874016
Acta Derm. Venereol.,2001,9,64,13,0.003994674
Acta Derm. Venereol.,2002,18,52,43,0.018156425
Acta Derm. Venereol.,2003,11,55,23,0.00877193
Acta Derm. Venereol.,2004,10,57,31,0.01572327
Acta Derm. Venereol.,2005,9,63,17,0.008143322
Acta Derm. Venereol.,2006,10,61,44,0.003231018
Acta Derm. Venereol.,2007,6,60,17,0.009345794
Acta Derm. Venereol.,2008,4,67,5,0.001574803
Acta Derm. Venereol.,2009,8,75,24,0.017725258
Acta Derm. Venereol.,2010,8,85,18,0.027065527
Acta Derm. Venereol.,2011,4,93,4,0.004081633
Acta Derm. Venereol.,2012,10,115,40,0.055207026
Acta Derm. Venereol.,2013,10,126,32,0.025094103
Acta Derm. Venereol.,2014,7,222,10,0.010962241
Acta Derm. Venereol.,2015,13,259,37,0.035294118
Acta Dermatovenerol Croat,2012,1,36,2,0.005154639
Acta Dermatovenerol Croat,2013,2,38,2,0.009756098
Acta Diabetol,1999,5,27,10,0.015957447
Acta Diabetol,2000,5,26,5,0.006024096
Acta Diabetol,2003,8,116,10,0.028571429
Acta Diabetol,2005,4,29,6,0.012820513
Acta Diabetol,2007,3,35,3,0.004424779
Acta Diabetol,2008,3,31,4,0.014388489
Acta Diabetol,2009,3,44,3,0.014184397
Acta Diabetol,2010,3,75,8,0.006493506
Acta Diabetol,2011,3,41,4,0.004926108
Acta Diabetol,2012,3,92,5,0.018867925
Acta Diabetol,2013,9,116,10,0.021978022
Acta Diabetol,2014,5,128,8,0.014044944
Acta Diabetol,2015,6,122,11,0.01891253
Acta Haematol.,1999,10,61,22,0.021621622
Acta Haematol.,2000,4,93,14,0.005586592
Acta Haematol.,2001,10,68,30,0.029891304
Acta Haematol.,2002,7,70,16,0.005555556
Acta Haematol.,2003,7,77,24,0.017964072
Acta Haematol.,2004,4,68,7,0.005698006
Acta Haematol.,2005,7,68,11,0.009287926
Acta Haematol.,2006,8,82,28,0.050314465
Acta Haematol.,2007,7,86,14,0.006006006
Acta Haematol.,2008,5,85,6,0.014662757
Acta Haematol.,2009,5,72,10,0.014005602
Acta Haematol.,2010,2,97,2,0.008310249
Acta Haematol.,2011,3,78,6,0.005434783
Acta Haematol.,2012,1,88,1,0.002816901
Acta Haematol.,2013,2,92,5,0.011267606
Acta Haematol.,2014,2,94,3,0.034666667
Acta Haematol.,2015,1,92,3,0.005181347
Acta Histochem Cytochem,2007,5,14,10,0.173913043
Acta Histochem Cytochem,2008,1,20,1,0.023809524
Acta Histochem Cytochem,2009,2,24,2,0.015873016
Acta Histochem Cytochem,2010,2,18,2,0.011235955
Acta Histochem Cytochem,2011,3,27,11,0.081395349
Acta Histochem Cytochem,2012,7,30,8,0.020618557
Acta Histochem Cytochem,2013,1,23,1,0.008849558
Acta Histochem Cytochem,2014,1,32,2,0.018018018
Acta Histochem.,1999,2,29,2,0.006024096
Acta Histochem.,2003,6,38,13,0.01744186
Acta Histochem.,2004,2,39,5,0.005494505
Acta Histochem.,2005,6,41,12,0.02173913
Acta Histochem.,2006,3,62,16,0.015463918
Acta Histochem.,2007,6,47,14,0.034825871
Acta Histochem.,2008,3,55,3,0.004739336
Acta Histochem.,2009,3,52,3,0.013100437
Acta Histochem.,2010,6,62,10,0.0125
Acta Histochem.,2011,11,108,14,0.041322314
Acta Histochem.,2012,11,103,13,0.025559105
Acta Histochem.,2013,5,115,10,0.013550136
Acta Histochem.,2014,6,194,7,0.011520737
Acta Mater,2009,1,0,13,2
Acta Mater,2010,1,1,17,2.5
Acta Mater,2012,2,2,4,0.4
Acta Mater,2013,1,3,1,0.111111111
Acta Med Port,2010,1,138,1,0.003610108
Acta Med. Austriaca,1999,2,34,30,0.006993007
Acta Med. Austriaca,2002,6,30,17,0.020408163
Acta Med. Okayama,2000,5,35,8,0.021505376
Acta Med. Okayama,2001,5,40,20,0.022346369
Acta Med. Okayama,2002,3,45,4,0.011428571
Acta Med. Okayama,2003,6,37,16,0.0625
Acta Med. Okayama,2004,5,33,9,0.028089888
Acta Med. Okayama,2005,4,37,10,0.011363636
Acta Med. Okayama,2006,7,41,7,0.023529412
Acta Med. Okayama,2008,7,48,8,0.017045455
Acta Med. Okayama,2010,4,52,4,0.014925373
Acta Med. Okayama,2011,4,52,4,0.014354067
Acta Med. Okayama,2013,1,52,1,0.004484305
Acta Med. Okayama,2014,2,49,2,0.008810573
Acta Microbiol Immunol Hung,2011,2,34,3,0.024193548
Acta Microbiol Immunol Hung,2013,1,35,1,0.006802721
Acta Microbiol Immunol Hung,2014,1,36,1,0.006666667
Acta Naturae,2012,5,30,8,0.05511811
Acta Naturae,2013,8,34,37,0.160493827
Acta Naturae,2014,8,38,13,0.061349693
Acta Naturae,2015,10,47,12,0.067073171
Acta Neurobiol Exp (Wars),1999,2,22,5,0.004694836
Acta Neurobiol Exp (Wars),2000,1,57,2,0.01
Acta Neurobiol Exp (Wars),2002,2,27,4,0.007142857
Acta Neurobiol Exp (Wars),2003,2,31,2,0.007092199
Acta Neurobiol Exp (Wars),2004,7,40,34,0.072368421
Acta Neurobiol Exp (Wars),2006,2,37,3,0.012987013
Acta Neurobiol Exp (Wars),2007,3,33,3,0.006097561
Acta Neurobiol Exp (Wars),2008,3,49,13,0.018072289
Acta Neurobiol Exp (Wars),2009,5,31,8,0.041176471
Acta Neurobiol Exp (Wars),2010,6,39,6,0.024242424
Acta Neurobiol Exp (Wars),2011,5,36,7,0.029069767
Acta Neurobiol Exp (Wars),2012,1,39,1,0.005617978
Acta Neurobiol Exp (Wars),2013,5,37,5,0.024096386
Acta Neurobiol Exp (Wars),2014,1,41,1,0.005847953
Acta Neurochir (Wien),1999,10,192,58,0.011764706
Acta Neurochir (Wien),2000,8,190,15,0.007255139
Acta Neurochir (Wien),2001,12,161,20,0.00486618
Acta Neurochir (Wien),2002,11,160,66,0.013784461
Acta Neurochir (Wien),2003,10,151,31,0.014416776
Acta Neurochir (Wien),2004,10,188,26,0.002747253
Acta Neurochir (Wien),2005,8,185,34,0.010899183
Acta Neurochir (Wien),2006,12,177,34,0.007843137
Acta Neurochir (Wien),2007,7,171,28,0.021437579
Acta Neurochir (Wien),2008,7,173,7,0.002472188
Acta Neurochir (Wien),2009,11,229,20,0.007594937
Acta Neurochir (Wien),2010,11,265,13,0.005966587
Acta Neurochir (Wien),2011,7,250,9,0.00513347
Acta Neurochir (Wien),2012,7,260,12,0.007985803
Acta Neurochir (Wien),2013,5,282,6,0.003169572
Acta Neurochir (Wien),2014,7,269,8,0.005098325
Acta Neurochir (Wien),2015,2,243,3,0.002177068
Acta Neurol Belg,1999,3,31,7,0.033333333
Acta Neurol Belg,2001,4,27,9,0.006849315
Acta Neurol Belg,2002,5,25,33,0.104895105
Acta Neurol Belg,2004,1,24,1,0.007352941
Acta Neurol Belg,2005,2,29,4,0.016129032
Acta Neurol Belg,2006,1,31,1,0.008264463
Acta Neurol Belg,2007,1,28,8,0.040650407
Acta Neurol Belg,2009,2,60,9,0.03875969
Acta Neurol Belg,2010,3,72,4,0.00621118
Acta Neurol Belg,2011,2,91,3,0.004807692
Acta Neurol Belg,2013,1,73,1,0.00295858
Acta Neurol Belg,2014,0,51,0,0.012987013
Acta Neurol Belg,2015,3,111,4,0.018276762
Acta Neurol. Scand.,1999,12,125,32,0.014106583
Acta Neurol. Scand.,2000,14,128,25,0.016806723
Acta Neurol. Scand.,2001,14,122,34,0.011904762
Acta Neurol. Scand.,2002,15,133,28,0.013722127
Acta Neurol. Scand.,2003,11,125,17,0.005154639
Acta Neurol. Scand.,2004,15,115,37,0.029010239
Acta Neurol. Scand.,2005,7,127,18,0.008650519
Acta Neurol. Scand.,2006,10,117,14,0.003460208
Acta Neurol. Scand.,2007,15,134,36,0.034111311
Acta Neurol. Scand.,2008,14,110,17,0.015929204
Acta Neurol. Scand.,2009,10,118,27,0.019607843
Acta Neurol. Scand.,2010,7,121,11,0.009041591
Acta Neurol. Scand.,2011,6,115,7,0.005405405
Acta Neurol. Scand.,2012,2,127,2,0.001883239
Acta Neurol. Scand.,2013,2,127,2,0.001862197
Acta Neurol. Scand.,2014,4,114,9,0.00929368
Acta Neurol. Scand.,2015,1,129,1,0.001897533
Acta Neuropathol.,1999,27,150,60,0.010869565
Acta Neuropathol.,2000,37,161,97,0.018893387
