Institution Name,Year,Number of Patent-Cited Articles,Number of Non-Patent-Cited Articles,Total Number of Unique Patent Family Citations,Patent Impact Factor,NIH Funding,Institution Type
American University,2014,1,63,1,0.005434783,1221253,Education
American Urological Association,2012,1,3,1,0.166666667,12000,Other
American Urological Association,2011,2,1,4,0.166666667,22500,Other
American Urological Association,2007,1,2,5,2,10000,Other
American Urological Association,2013,1,4,5,0.583333333,19000,Other
Amherst College,2000,1,6,51,0.04,136051,Education
Amherst College,2008,1,10,2,0.019607843,456097,Education
Amherst College,2011,1,9,1,0.01754386,450012,Education
Amherst College,2002,1,7,4,0.086956522,175205,Education
Amherst College,2001,2,3,8,0.083333333,274438,Education
Amherst College,2004,2,9,2,0.034482759,74713,Education
Ana G. Mendez University System,2004,1,0,2,1,337864,Education
Arizona's Public Universities,2000,205,860,1149,0.057913972,96321310,Government
Arizona's Public Universities,2014,118,1580,323,0.034041942,120988662,Government
Arizona's Public Universities,2006,246,1078,1214,0.075301205,131952406,Government
Arizona's Public Universities,2010,265,1460,1241,0.083563648,123094864,Government
Arizona's Public Universities,2015,104,1596,194,0.023582895,118048930,Government
Arizona's Public Universities,2013,160,1514,506,0.045487157,119733801,Government
Arizona's Public Universities,2004,231,1041,1373,0.065941385,138648995,Government
Arizona's Public Universities,2009,289,1428,1222,0.086596515,128147384,Government
Arizona's Public Universities,2008,252,1322,1306,0.086125273,127582347,Government
Arizona's Public Universities,2005,253,1118,1324,0.076139979,144908313,Government
Arizona's Public Universities,2011,256,1519,906,0.075373818,136431295,Government
Arizona's Public Universities,2012,191,1516,630,0.056904623,132846515,Government
Arizona's Public Universities,2007,243,1248,1255,0.063973715,139748200,Government
Arizona's Public Universities,2003,226,951,1726,0.086997636,129637716,Government
Arizona's Public Universities,2002,255,881,1436,0.073047859,117469126,Government
Arizona's Public Universities,2001,229,877,2042,0.083620005,102759144,Government
Arkansas Children's Hospital,2003,2,10,10,0.118644068,2491951,Healthcare
Arkansas Children's Hospital,2004,1,13,1,0.018181818,3115255,Healthcare
Arkansas Children's Hospital,2013,1,18,10,0.073529412,4040531,Healthcare
Arkansas Children's Hospital,2005,2,15,6,0.016666667,2931962,Healthcare
Arkansas Children's Hospital,2001,3,19,14,0.070175439,4180504,Healthcare
Arkansas State University System,2012,7,23,19,0.192307692,170000,Education
Arkansas State University System,2015,2,10,2,0.029126214,340000,Education
Arkansas State University System,2013,0,28,0,0.02739726,191760,Education
Ascension Health,2010,1,41,1,0.006711409,499869,Healthcare
Ascension Health,2008,1,27,3,0.007352941,539869,Healthcare
Ascension Health,2011,3,39,21,0.123376623,484872,Healthcare
Ascension Health,2012,3,37,3,0.0125,391891,Healthcare
Ascension Health,2009,2,45,2,0.007462687,507986,Healthcare
Auburn University System,2010,30,233,101,0.035369775,2175404,Education
Auburn University System,2007,36,225,98,0.046575342,3446638,Education
Auburn University System,2009,30,207,107,0.044267877,1847143,Education
Auburn University System,2003,31,132,184,0.072490706,3596664,Education
Auburn University System,2006,26,169,94,0.03649635,2837871,Education
Auburn University System,2005,34,151,157,0.072948328,3192873,Education
Auburn University System,2011,33,230,76,0.035928144,2271178,Education
Auburn University System,2001,29,127,110,0.04742268,4037615,Education
Auburn University System,2013,19,270,36,0.018674136,2210427,Education
Auburn University System,2015,11,263,21,0.011314186,2417181,Education
Auburn University System,2012,24,282,43,0.029880478,2133748,Education
Auburn University System,2014,23,260,45,0.025800712,1856166,Education
Auburn University System,2008,24,213,95,0.030266344,2087979,Education
Auburn University System,2000,22,96,80,0.032786885,3317178,Education
Auburn University System,2002,37,113,205,0.086519115,3885528,Education
Auburn University System,2004,33,149,106,0.028764805,4711599,Education
Azusa Pacific University,2012,1,12,1,0.043478261,178416,Education
Ball State University,2012,1,43,1,0.00729927,291747,Education
Ball State University,2010,6,31,16,0.056910569,433500,Education
Ball State University,2013,1,40,1,0.006622517,695697,Education
Ball State University,2007,4,23,6,0.008403361,271179,Education
Ball State University,2004,2,24,5,0.015151515,898391,Education
Ball State University,2000,5,28,37,0.017699115,219074,Education
Ball State University,2011,1,34,3,0.015503876,305472,Education
Ball State University,2002,1,35,28,0.00862069,286000,Education
Ball State University,2014,1,42,2,0.006329114,750894,Education
Ball State University,2015,0,44,0,0.012195122,424149,Education
Banner Health,2011,9,59,33,0.105769231,1286593,Healthcare
Banner Health,2015,3,39,6,0.025210084,5198148,Healthcare
Banner Health,2012,5,42,10,0.019607843,16498976,Healthcare
Banner Health,2013,3,57,7,0.016129032,34128788,Healthcare
Banner Health,2004,2,11,12,0.5,1508737,Healthcare
Banner Health,2008,3,14,28,0.024096386,1451904,Healthcare
Banner Health,2010,7,32,33,0.091954023,1296640,Healthcare
Banner Health,2014,2,44,6,0.004504505,5122190,Healthcare
Banner Health,2009,3,22,17,0.137931034,1335485,Healthcare
Barry University,2009,1,8,4,0.071428571,1000504,Education
Barry University,2014,1,5,1,0.025,295921,Education
Barry University,2003,1,13,4,0.025,1842039,Education
Barry University,2015,1,12,1,0.023809524,302774,Education
Bastyr University,2013,3,5,5,0.09375,1486578,Education
Bastyr University,2007,1,5,1,0.047619048,558673,Education
Bastyr University,2011,2,7,8,0.142857143,2570646,Education
Bastyr University,2005,2,8,4,0.071428571,513681,Education
Bastyr University,2004,1,1,2,0.0625,1063836,Education
Bastyr University,2009,0,4,0,0.03125,912043,Education
Bastyr University,2006,1,6,2,0.277777778,474786,Education
Bates College,2013,2,11,2,0.046511628,719044,Education
Bates College,2000,2,12,7,0.047619048,326186,Education
Battelle,2006,4,25,17,0.088235294,56142468,Nonprofit
Battelle,2011,3,23,17,0.114942529,16830986,Nonprofit
Battelle,2012,4,32,11,0.042105263,33142460,Nonprofit
Battelle,2000,4,10,13,0.031746032,16737277,Nonprofit
Battelle,2010,1,25,1,0.011111111,17360051,Nonprofit
Battelle,2002,2,17,5,0.03030303,6830142,Nonprofit
Battelle,2014,1,20,1,0.008130081,23272677,Nonprofit
Battelle,2013,2,32,3,0.017699115,46410059,Nonprofit
Baylor University,2005,8,43,28,0.060150376,133424,Education
Baylor University,2014,2,81,2,0.012578616,647306,Education
Baylor University,2015,2,109,12,0.023054755,1099990,Education
Baylor University,2012,2,70,16,0.033333333,282992,Education
Baylor University,2010,7,49,20,0.024154589,797212,Education
Baylor University,2003,4,27,14,0.037735849,211542,Education
Baylor University,2009,4,56,8,0.015151515,532247,Education
Baylor University,2013,5,108,17,0.038022814,266013,Education
Baylor University,2011,1,71,7,0.014150943,767252,Education
Baylor University,2007,4,40,24,0.016949153,506026,Education
Baylor University,2004,6,38,26,0.051282051,206348,Education
Baylor University,2000,3,25,34,0.140625,144091,Education
Baylor University,2006,6,44,38,0.058441558,325724,Education
Baylor University,2008,6,44,23,0.068062827,732651,Education
Baylor University Medical Center,2005,14,88,57,0.02195122,5118923,Healthcare
Baylor University Medical Center,2015,7,106,11,0.027918782,3171007,Healthcare
Baylor University Medical Center,2001,10,85,128,0.059701493,4034374,Healthcare
Baylor University Medical Center,2007,12,108,46,0.028761062,7234909,Healthcare
Baylor University Medical Center,2011,6,72,23,0.026315789,11725281,Healthcare
Baylor University Medical Center,2010,22,70,72,0.066371681,10470847,Healthcare
Baylor University Medical Center,2014,4,104,6,0.01734104,6822445,Healthcare
Baylor University Medical Center,2012,7,68,22,0.023809524,11821838,Healthcare
Baylor University Medical Center,2006,14,113,69,0.033573141,7292600,Healthcare
Baylor University Medical Center,2013,2,87,5,0.011142061,11481069,Healthcare
Baylor University Medical Center,2002,12,80,55,0.033670034,4266100,Healthcare
Baylor University Medical Center,2009,7,98,22,0.013363029,9756317,Healthcare
Baylor University Medical Center,2004,9,92,68,0.044554455,5833236,Healthcare
Baylor University Medical Center,2008,9,89,50,0.017699115,7627024,Healthcare
Baylor University Medical Center,2000,12,83,48,0.017621145,3322828,Healthcare
Baylor University Medical Center,2003,16,103,90,0.057228916,4018014,Healthcare
Baystate Medical Center,2009,5,56,17,0.022058824,689724,Healthcare
Baystate Medical Center,2010,8,83,33,0.02173913,628611,Healthcare
Baystate Medical Center,2001,4,43,30,0.004608295,337235,Healthcare
Baystate Medical Center,2012,3,83,10,0.015576324,1182791,Healthcare
Baystate Medical Center,2004,3,39,13,0.013761468,484283,Healthcare
Baystate Medical Center,2011,2,85,3,0.006451613,1040666,Healthcare
Baystate Medical Center,2015,0,48,0,0.003333333,1367966,Healthcare
Baystate Medical Center,2005,7,50,12,0.010362694,776033,Healthcare
Baystate Medical Center,2003,1,53,2,0.004504505,795995,Healthcare
Baystate Medical Center,2008,3,73,13,0.012605042,60308,Healthcare
Baystate Medical Center,2006,4,56,13,0.024630542,1164587,Healthcare
Baystate Medical Center,2007,6,72,16,0.009389671,262179,Healthcare
Beth Israel Deaconess Medical Center,2010,148,762,619,0.066291802,133203547,Healthcare
Beth Israel Deaconess Medical Center,2014,60,719,163,0.031424767,108156442,Healthcare
Beth Israel Deaconess Medical Center,2007,174,622,1122,0.092240573,113451201,Healthcare
Beth Israel Deaconess Medical Center,2008,165,654,1255,0.082378445,112124765,Healthcare
Beth Israel Deaconess Medical Center,2009,159,727,662,0.074549343,127639420,Healthcare
Beth Israel Deaconess Medical Center,2005,204,588,1416,0.106675393,123263371,Healthcare
Beth Israel Deaconess Medical Center,2011,124,766,433,0.054077501,128763833,Healthcare
Beth Israel Deaconess Medical Center,2015,61,687,141,0.025275612,112741707,Healthcare
Beth Israel Deaconess Medical Center,2004,198,590,1004,0.074344507,114564223,Healthcare
Beth Israel Deaconess Medical Center,2013,89,837,310,0.05716608,118785811,Healthcare
Beth Israel Deaconess Medical Center,2001,213,567,1721,0.101404591,94798401,Healthcare
Beth Israel Deaconess Medical Center,2012,108,841,377,0.050757151,135871030,Healthcare
Beth Israel Deaconess Medical Center,2006,199,630,1279,0.107632094,128601967,Healthcare
Beth Israel Deaconess Medical Center,2000,203,540,1511,0.1044436,80710643,Healthcare
Beth Israel Deaconess Medical Center,2002,212,479,1686,0.116848726,96327125,Healthcare
Beth Israel Deaconess Medical Center,2003,184,589,1296,0.11033566,103305416,Healthcare
BJC HealthCare,2007,14,91,33,0.03286385,704999,Healthcare
BJC HealthCare,2014,2,81,3,0.00619195,297549,Healthcare
BJC HealthCare,2011,5,76,15,0.031791908,697095,Healthcare
BJC HealthCare,2005,9,81,86,0.029816514,600164,Healthcare
BJC HealthCare,2001,19,92,74,0.033898305,16353529,Healthcare
BJC HealthCare,2008,4,67,19,0.014669927,776180,Healthcare
BJC HealthCare,2004,12,78,65,0.04494382,980760,Healthcare
BJC HealthCare,2000,27,71,381,0.199300699,16392091,Healthcare
BJC HealthCare,2006,4,119,23,0.009615385,673887,Healthcare
BJC HealthCare,2009,10,68,41,0.028132992,576180,Healthcare
BJC HealthCare,2013,1,82,1,0.003154574,773631,Healthcare
BJC HealthCare,2003,23,97,194,0.094339623,3503361,Healthcare
BJC HealthCare,2010,4,85,5,0.005277045,556180,Healthcare
BJC HealthCare,2012,3,63,8,0.015479876,779168,Healthcare
BJC HealthCare,2002,22,91,148,0.083969466,15430735,Healthcare
Boise State University,2002,2,11,6,0.03030303,464303,Education
Boise State University,2010,6,30,17,0.093457944,211500,Education
Boise State University,2005,4,10,11,0.04,922014,Education
Boise State University,2015,2,40,4,0.030487805,2176316,Education
Boise State University,2012,4,38,8,0.033333333,440156,Education
Boise State University,2011,2,42,5,0.015873016,1637972,Education
Boise State University,2013,2,42,4,0.024242424,421238,Education
Boise State University,2009,5,38,14,0.037974684,641815,Education
Boise State University,2001,1,13,1,0.034482759,731502,Education
Boise State University,2006,3,14,11,0.058823529,79822,Education
Boise State University,2014,1,32,1,0.005988024,2133271,Education
Boise State University,2007,6,14,28,0.181818182,181890,Education
Boston Biomedical Research Institute,2006,9,11,25,0.107692308,11515891,Facility
Boston Biomedical Research Institute,2004,4,13,12,0.025641026,12715205,Facility
Boston Biomedical Research Institute,2001,5,14,40,0.03125,6402179,Facility
Boston Biomedical Research Institute,2000,8,15,112,0.096774194,7627806,Facility
Boston Biomedical Research Institute,2010,2,11,3,0.033333333,9310848,Facility
Boston Biomedical Research Institute,2012,7,8,16,0.224137931,5802769,Facility
Boston Biomedical Research Institute,2003,7,7,30,0.068965517,10787939,Facility
Boston Biomedical Research Institute,2007,3,12,9,0.046875,9108650,Facility
Boston Biomedical Research Institute,2008,2,10,3,0.046153846,8044873,Facility
Boston Biomedical Research Institute,2002,12,10,114,0.352941176,8481477,Facility
Boston Biomedical Research Institute,2011,6,15,16,0.096153846,6086029,Facility
Boston Biomedical Research Institute,2009,2,10,17,0.1,8897393,Facility
Boston Children's Hospital,2004,49,223,289,0.060532688,99571939,Healthcare
Boston Children's Hospital,2014,91,903,286,0.061584454,124995490,Healthcare
Boston Children's Hospital,2005,67,276,394,0.095828636,102805468,Healthcare
Boston Children's Hospital,2001,27,148,356,0.079399142,68708087,Healthcare
Boston Children's Hospital,2011,103,710,411,0.091663029,118512044,Healthcare
Boston Children's Hospital,2006,86,344,393,0.08230842,92355391,Healthcare
Boston Children's Hospital,2009,86,493,604,0.093325792,96381705,Healthcare
Boston Children's Hospital,2002,43,158,226,0.070671378,66576279,Healthcare
Boston Children's Hospital,2012,104,753,377,0.081182192,122338322,Healthcare
Boston Children's Hospital,2007,86,349,342,0.081712062,100659143,Healthcare
Boston Children's Hospital,2013,99,814,440,0.09279732,126812298,Healthcare
Boston Children's Hospital,2003,44,188,161,0.039903265,85386904,Healthcare
Boston Children's Hospital,2000,37,172,409,0.068965517,52476901,Healthcare
Boston Children's Hospital,2008,98,450,601,0.129704301,96636838,Healthcare
Boston Children's Hospital,2015,71,860,160,0.033710895,137431827,Healthcare
Boston Children's Hospital,2010,101,608,771,0.135094716,105213019,Healthcare
Boston College,2004,27,94,163,0.084577114,5683074,Education
Boston College,2000,14,88,29,0.028481013,5198455,Education
Boston College,2011,21,132,131,0.115789474,5662890,Education
Boston College,2007,19,119,94,0.050813008,7006446,Education
Boston College,2003,14,74,61,0.054187192,6900302,Education
Boston College,2005,30,123,107,0.088095238,5507035,Education
Boston College,2013,22,163,75,0.081260365,8118525,Education
Boston College,2012,21,145,62,0.061538462,8105013,Education
Boston College,2001,24,87,61,0.04057971,5732489,Education
Boston College,2009,19,123,176,0.087719298,7163816,Education
Boston College,2015,10,167,22,0.025,12786584,Education
Boston College,2008,30,118,191,0.081180812,6997408,Education
Boston College,2014,16,148,44,0.055641422,11142110,Education
Boston College,2002,16,82,65,0.037037037,6517102,Education
Boston College,2010,21,119,97,0.082437276,7440837,Education
Boston College,2006,21,107,80,0.045356371,4168850,Education
Boston Medical Center,2011,2,60,5,0.025510204,38370313,Healthcare
Boston Medical Center,2010,4,49,10,0.019138756,35092153,Healthcare
Boston Medical Center,2000,10,43,58,0.024509804,22087660,Healthcare
Boston Medical Center,2008,1,38,1,0.028846154,29661020,Healthcare
Boston Medical Center,2015,1,68,1,0.0041841,30632865,Healthcare
Boston Medical Center,2006,4,63,9,0.02259887,40499118,Healthcare
Boston Medical Center,2012,1,59,1,0.004672897,37309152,Healthcare
Boston Medical Center,2001,9,41,84,0.075098814,26700052,Healthcare
Boston Medical Center,2005,5,41,29,0.060773481,39345527,Healthcare
Boston Medical Center,2003,5,38,16,0.04,38270660,Healthcare
Boston Medical Center,2002,5,34,22,0.016736402,27245087,Healthcare
Boston Medical Center,2004,5,44,11,0.021621622,39379304,Healthcare
Boston Medical Center,2007,6,40,19,0.048780488,34667726,Healthcare
Boston University,2015,55,1128,120,0.021132222,159842964,Education
Boston University,2000,204,617,1216,0.067923186,108836883,Education
Boston University,2006,157,896,776,0.050234253,178296801,Education
Boston University,2011,143,1085,368,0.04020865,156890541,Education
Boston University,2007,215,888,1677,0.085820896,161316955,Education
Boston University,2010,157,1070,838,0.07309346,154223319,Education
Boston University,2003,220,724,1377,0.083283936,292519118,Education
Boston University,2009,163,910,831,0.070095585,170655255,Education
Boston University,2008,191,963,843,0.070864257,163607727,Education
Boston University,2012,149,1153,502,0.059493671,172894022,Education
Boston University,2005,205,852,1009,0.071900826,155228278,Education
Boston University,2004,202,744,1090,0.077406455,160311385,Education
Boston University,2014,75,1125,141,0.023324187,147345925,Education
Boston University,2013,118,1147,687,0.068563242,152993025,Education
Boston University,2001,187,653,983,0.066397034,117068232,Education
Boston University,2002,190,687,1234,0.062832135,137150400,Education
Bowdoin College,2002,1,7,3,0.055555556,59179,Education
Bowdoin College,2006,2,10,11,0.117647059,191774,Education
Bowdoin College,2011,1,6,4,0.056603774,738582,Education
Bowdoin College,2013,1,15,3,0.019607843,402129,Education
Brandeis University,2001,32,116,162,0.059033989,18169483,Education
Brandeis University,2006,28,166,169,0.057507987,23239776,Education
Brandeis University,2015,10,152,45,0.026988636,27769696,Education
Brandeis University,2009,15,160,55,0.041347626,26298696,Education
Brandeis University,2004,30,124,231,0.098705502,27687631,Education
Brandeis University,2010,20,150,71,0.037202381,26154019,Education
Brandeis University,2012,23,158,57,0.045045045,27733174,Education
Brandeis University,2011,25,146,49,0.055727554,24393136,Education
Brandeis University,2002,30,109,123,0.030405405,21330634,Education
Brandeis University,2000,34,123,229,0.04159132,16478673,Education
Brandeis University,2014,15,164,41,0.056358382,28831370,Education
Brandeis University,2005,27,127,142,0.042071197,24163537,Education
Brandeis University,2007,25,126,122,0.052785924,21596537,Education
Brandeis University,2013,17,149,60,0.057224607,25846230,Education
Brandeis University,2008,19,128,33,0.016616314,21700096,Education
Brandeis University,2003,26,144,212,0.070826307,26865340,Education
Brigham Young University,2015,5,201,8,0.01187905,4314790,Education
Brigham Young University,2012,23,205,43,0.029515939,3229491,Education
Brigham Young University,2009,21,194,49,0.035493827,3309424,Education
Brigham Young University,2007,21,154,77,0.035906643,2634794,Education
Brigham Young University,2006,17,139,92,0.037523452,2852567,Education
Brigham Young University,2004,27,116,697,0.127083333,2487051,Education
Brigham Young University,2010,19,178,63,0.032078103,3642568,Education
Brigham Young University,2011,18,243,85,0.063157895,3514293,Education
Brigham Young University,2005,26,117,209,0.051282051,2585692,Education
Brigham Young University,2014,14,174,20,0.020342612,2755723,Education
Brigham Young University,2008,21,148,87,0.04340836,1969497,Education
Brigham Young University,2000,21,94,198,0.128712871,1629574,Education
Brigham Young University,2002,18,115,246,0.055,2723203,Education
Brigham Young University,2001,31,88,203,0.060518732,1725753,Education
Brigham Young University,2003,21,90,89,0.056892779,2830074,Education
Brigham Young University,2013,20,222,69,0.046306505,2315969,Education
Broad Institute,2009,39,23,941,1.837662338,69156343,Nonprofit
Broad Institute,2013,48,43,1563,1.663461538,98855705,Nonprofit
Broad Institute,2012,57,36,741,1.19245283,119412893,Nonprofit
Broad Institute,2015,33,67,858,1.770718232,138387917,Nonprofit
Broad Institute,2010,38,35,641,1.194594595,102321457,Nonprofit
Broad Institute,2014,39,52,430,0.859649123,95443418,Nonprofit
Broad Institute,2011,52,28,673,1.285087719,105141202,Nonprofit
Brown University,2005,60,478,450,0.061904762,52592893,Education
Brown University,2011,69,731,251,0.047345768,63472713,Education
Brown University,2006,68,510,244,0.03564257,55086743,Education
Brown University,2007,71,522,329,0.0463138,58898926,Education
Brown University,2000,55,340,361,0.048090523,32736352,Education
Brown University,2015,28,803,44,0.012140954,62017955,Education
Brown University,2010,73,703,240,0.046862897,65198312,Education
Brown University,2009,92,617,371,0.062707641,63962601,Education
Brown University,2003,62,412,303,0.044784915,53058958,Education
Brown University,2008,89,591,382,0.060008957,60387520,Education
Brown University,2014,33,792,101,0.017666768,56686388,Education
Brown University,2013,42,783,131,0.026967005,56210561,Education
Brown University,2002,73,380,411,0.049056604,44284997,Education
Brown University,2001,60,377,371,0.047554348,37907446,Education
Brown University,2012,77,750,343,0.064827128,59158690,Education
Brown University,2004,88,420,581,0.0824393,52442747,Education
Bryn Mawr College,2012,1,16,5,0.042553191,346425,Education
Bryn Mawr College,2006,1,9,4,0.076923077,195878,Education
Buck Institute for Research on Aging,2012,12,39,52,1.210526316,9661740,Nonprofit
Buck Institute for Research on Aging,2015,5,29,10,0.063694268,9460392,Nonprofit
Buck Institute for Research on Aging,2013,9,35,46,0.352112676,10473643,Nonprofit
Buck Institute for Research on Aging,2014,8,33,32,0.189655172,8054900,Nonprofit
Butler Hospital,2008,1,11,3,0.02173913,9710348,Healthcare
Butler Hospital,2012,1,11,2,0.020833333,7248421,Healthcare
Butler Hospital,2009,2,12,4,0.06,6744345,Healthcare
Butler Hospital,2004,1,7,1,0.076923077,3902919,Healthcare
Butler Hospital,2010,1,9,1,0.01754386,6247435,Healthcare
Butler Hospital,2011,1,9,7,0.047619048,5416048,Healthcare
Butler University,2012,2,8,3,0.026315789,403158,Education
California Institute for Medical Research,2001,3,3,30,0.08,151068,Facility
California Institute for Medical Research,2011,1,6,1,0.058823529,283368,Facility
California Institute of Technology,2003,162,239,2491,0.365129007,34897422,Education
California Institute of Technology,2006,168,295,1942,0.293595434,51051048,Education
California Institute of Technology,2007,159,288,1559,0.277843602,53594003,Education
California Institute of Technology,2010,142,274,1120,0.236004391,56296613,Education
California Institute of Technology,2011,155,295,886,0.237183099,59724649,Education
California Institute of Technology,2008,168,272,1515,0.317368725,46692919,Education
California Institute of Technology,2000,136,165,2524,0.379707113,30485193,Education
California Institute of Technology,2015,68,383,266,0.104307213,55341082,Education
California Institute of Technology,2001,156,188,2052,0.330134357,31938945,Education
California Institute of Technology,2009,148,316,1120,0.223796034,46578549,Education
California Institute of Technology,2002,159,196,1904,0.375323555,30778368,Education
California Institute of Technology,2005,153,254,926,0.149273448,47838370,Education
California Institute of Technology,2013,123,345,621,0.19400545,59559501,Education
California Institute of Technology,2004,170,241,1232,0.210263721,43593290,Education
California Institute of Technology,2012,133,361,606,0.17620651,57943948,Education
California Institute of Technology,2014,99,394,410,0.146579805,63082330,Education
California State University System,2015,16,624,31,0.009538951,59991755,Education
California State University System,2005,32,398,83,0.022304833,54361982,Education
California State University System,2009,47,583,118,0.032582655,58984065,Education
California State University System,2006,53,464,214,0.035377358,56252214,Education
California State University System,2014,16,580,30,0.009211053,57732894,Education
California State University System,2007,39,483,170,0.018753447,64028219,Education
California State University System,2002,29,367,104,0.011049724,48434280,Education
California State University System,2000,43,339,169,0.034155598,35731180,Education
California State University System,2011,43,576,168,0.025074373,60365382,Education
California State University System,2008,35,569,86,0.02167019,54229634,Education
California State University System,2010,31,552,113,0.024496938,59226422,Education
California State University System,2003,45,399,148,0.022678951,52660999,Education
California State University System,2012,30,664,52,0.011428571,59580385,Education
California State University System,2013,26,554,49,0.012598425,56269804,Education
California State University System,2004,35,374,136,0.026515152,52553490,Education
California State University System,2001,24,328,91,0.016680567,44001798,Education
Calvin College,2005,1,3,9,0.133333333,295814,Education
Calvin College,2001,1,10,1,0.058823529,159561,Education
Calvin College,2011,0,12,0,0.03125,306211,Education
Calvin College,2008,2,3,6,0.04,184404,Education
Cambridge Health Alliance,2007,1,32,1,0.008474576,2058111,Healthcare
Cambridge Health Alliance,2003,2,24,38,0.071428571,2756101,Healthcare
Cambridge Health Alliance,2009,2,26,2,0.007518797,1228610,Healthcare
Cambridge Health Alliance,2006,1,33,1,0.019417476,2505489,Healthcare
Cambridge Health Alliance,2001,2,15,17,0.025,354826,Healthcare
Carleton College,2012,1,6,1,0.05,344204,Education
Carnegie Mellon University,2005,54,150,361,0.154676259,16088042,Education
Carnegie Mellon University,2007,51,160,273,0.12849162,16600912,Education
Carnegie Mellon University,2003,28,97,198,0.102739726,16385422,Education
Carnegie Mellon University,2006,46,166,286,0.126365055,19681830,Education
Carnegie Mellon University,2000,19,70,133,0.06984127,12351745,Education
Carnegie Mellon University,2011,45,222,171,0.076200418,24793132,Education
Carnegie Mellon University,2010,65,214,187,0.084364454,24575337,Education
Carnegie Mellon University,2009,63,171,280,0.149184149,24544429,Education
Carnegie Mellon University,2012,30,257,75,0.057086614,24038734,Education
Carnegie Mellon University,2015,16,261,30,0.032830524,15457495,Education
Carnegie Mellon University,2002,28,110,148,0.053763441,16203832,Education
Carnegie Mellon University,2008,63,166,456,0.128428928,20565427,Education
Carnegie Mellon University,2001,26,92,322,0.139393939,14300792,Education
Carnegie Mellon University,2013,33,259,77,0.065237651,20956398,Education
Carnegie Mellon University,2004,42,131,281,0.186836518,14900566,Education
Carnegie Mellon University,2014,29,241,57,0.051101322,14946737,Education
Carolinas Healthcare System,2006,5,86,16,0.018927445,119610,Healthcare
Carolinas Healthcare System,2013,7,103,22,0.014583333,4119613,Healthcare
Carolinas Healthcare System,2015,9,159,26,0.031809145,3556975,Healthcare
Carolinas Healthcare System,2014,5,121,28,0.016701461,3877375,Healthcare
Carolinas Healthcare System,2009,10,106,54,0.045945946,1254090,Healthcare
Carolinas Healthcare System,2003,14,59,75,0.1125,1858382,Healthcare
Carolinas Healthcare System,2007,12,87,27,0.040123457,666016,Healthcare
Carolinas Healthcare System,2010,15,97,60,0.029126214,1045609,Healthcare
Carolinas Healthcare System,2002,15,69,52,0.027303754,1299394,Healthcare
