Term,Log Likelihood,% Frequency in Patent-Cited Corpus,% Frequency in Non-Patent-Cited Corpus,Corpus,Rank,Year,Term Type
D003813,428.02721248066825,3.160398104814603e-05,0.0007043228390274851,Non-Patent-Cited,22,1970-1975,MESH
D006113,421.07012670390816,3.160398104814603e-05,0.0006945533780307679,Non-Patent-Cited,23,1970-1975,MESH
D011379,420.28340397014904,0.0003081388152194238,0.0013241306239607275,Non-Patent-Cited,24,1970-1975,MESH
D005860,412.6085820557694,2.106932069876402e-05,0.0006469042144901752,Non-Patent-Cited,25,1970-1975,MESH
D001523,355.65566664632627,0.00010534660349382011,0.0007971327184962993,Non-Patent-Cited,26,1970-1975,MESH
D049672,342.5898093562644,5.7940631921601056e-05,0.0006593464525520321,Non-Patent-Cited,27,1970-1975,MESH
D000208,331.06671548607744,0.0002844358294333143,0.0011211838964628837,Non-Patent-Cited,28,1970-1975,MESH
D011183,308.227347770925,0.0007005549132339037,0.001764493686624078,Non-Patent-Cited,29,1970-1975,MESH
D005500,295.7848251358192,0.0005082973618576821,0.0014358342723382873,Non-Patent-Cited,30,1970-1975,MESH
D013329,4826.983527241682,0.004855283535746719,0.0007369278947746399,Patent-Cited,1,1975-1980,MESH
D007700,2937.7927791951697,0.00923954616193322,0.0036729422057021734,Patent-Cited,2,1975-1980,MESH
D008970,2891.030009884796,0.0053432611980511035,0.001501512121271473,Patent-Cited,3,1975-1980,MESH
D055598,2847.5615652640663,0.004437016968057246,0.001080410467114536,Patent-Cited,4,1975-1980,MESH
D002621,2573.2383570918564,0.003969764225773511,0.0009579971955572869,Patent-Cited,5,1975-1980,MESH
D051379,1906.3667837234452,0.009488245202181016,0.004669658265670531,Patent-Cited,6,1975-1980,MESH
D002460,1875.1845676070188,0.003862371458393781,0.0011778877018730862,Patent-Cited,7,1975-1980,MESH
D004926,1852.7615545190956,0.004094113745897408,0.001312179594596261,Patent-Cited,8,1975-1980,MESH
D000596,1642.4640417628302,0.003591063414487096,0.0011425238678676587,Patent-Cited,9,1975-1980,MESH
D000595,1531.4211145981408,0.001908576725538,0.0003732244635034352,Patent-Cited,10,1975-1980,MESH
D000818,1198.5583737448087,0.03992561637796225,0.030959676524290058,Patent-Cited,11,1975-1980,MESH
D006863,1187.4363229062983,0.0040338230694737,0.0016698077005383282,Patent-Cited,12,1975-1980,MESH
D001665,1158.5734425699136,0.0031143902540121562,0.0011322774236558297,Patent-Cited,13,1975-1980,MESH
D010455,1044.3824836189106,0.0017748067872228985,0.0004658958438971453,Patent-Cited,14,1975-1980,MESH
D001483,976.9428321996907,0.0014375558159777828,0.00033214801015866936,Patent-Cited,15,1975-1980,MESH
D002846,976.581257700956,0.0011229138483915579,0.0002007577653538886,Patent-Cited,16,1975-1980,MESH
D009682,962.0818749232578,0.001377265139554075,0.0003100229447809147,Patent-Cited,17,1975-1980,MESH
D011485,928.8321323840034,0.002959895395676405,0.0011849604686741718,Patent-Cited,18,1975-1980,MESH
D004279,921.4784489962638,0.0015713257542928846,0.0004136661813660523,Patent-Cited,19,1975-1980,MESH
D004262,866.1738085286659,0.0008685625572290405,0.00013129956830733094,Patent-Cited,20,1975-1980,MESH
D002478,856.1918261033954,0.003131347006756324,0.001344913810175644,Patent-Cited,21,1975-1980,MESH
D012995,844.6771866648087,0.0014450921505307463,0.0003814760247713683,Patent-Cited,22,1975-1980,MESH
D013379,834.0063705657969,0.0009872598264382153,0.00018244111286902615,Patent-Cited,23,1975-1980,MESH
D008968,814.2007572962737,0.0013282789649598126,0.0003367725115286099,Patent-Cited,24,1975-1980,MESH
D010957,813.317844994872,0.0008855193099732083,0.0001484374263253458,Patent-Cited,25,1975-1980,MESH
D011487,767.5994420669672,0.0019010403909850366,0.0006570419005213536,Patent-Cited,26,1975-1980,MESH
D010446,751.4743838984164,0.001134218350221003,0.00026831175595400016,Patent-Cited,27,1975-1980,MESH
D009154,749.8277272414973,0.002454960980627852,0.000996988089460707,Patent-Cited,28,1975-1980,MESH
D013696,724.710537813417,0.0029843884829735363,0.0013551602543874731,Patent-Cited,29,1975-1980,MESH
D013237,698.6050113235709,0.0008798670590584857,0.0001740081986061934,Patent-Cited,30,1975-1980,MESH
D006801,8908.735036216909,0.03655875891642582,0.06794435292163302,Non-Patent-Cited,1,1975-1980,MESH
D005260,3958.179147480134,0.01888605438972647,0.03370418207260358,Non-Patent-Cited,2,1975-1980,MESH
D000328,3573.051973371307,0.009793466751576036,0.020546296880655946,Non-Patent-Cited,3,1975-1980,MESH
D002648,3112.3440684989423,0.0026226444244312895,0.008844222855265076,Non-Patent-Cited,4,1975-1980,MESH
D008297,3111.8886003613334,0.020570425162313805,0.033897867071156385,Non-Patent-Cited,5,1975-1980,MESH
D008875,2752.424168430718,0.007167054159868265,0.015290687088464717,Non-Patent-Cited,6,1975-1980,MESH
D014481,2599.245609042137,0.00038435306220113724,0.003782932797108798,Non-Patent-Cited,7,1975-1980,MESH
D000293,2519.3590349224833,0.003562802159913483,0.009527016881062177,Non-Patent-Cited,8,1975-1980,MESH
D002675,1869.1802564182065,0.0014187149795953742,0.005037714168819327,Non-Patent-Cited,9,1975-1980,MESH
D000368,1676.4042012428922,0.004437016968057246,0.009415484789198906,Non-Patent-Cited,10,1975-1980,MESH
D007223,1404.1262300213425,0.0012246543648565648,0.004061672350269527,Non-Patent-Cited,11,1975-1980,MESH
D049673,1271.8524358111965,0.00013753810559158342,0.0017166874497198822,Non-Patent-Cited,12,1975-1980,MESH
D007231,1159.5993305472093,0.0010381300846707187,0.003400277977870582,Non-Patent-Cited,13,1975-1980,MESH
D011859,1008.5187599070755,0.0005972545133223554,0.0024129922736370055,Non-Patent-Cited,14,1975-1980,MESH
D003937,972.7682953992359,0.00042015065132771376,0.0020274358064803952,Non-Patent-Cited,15,1975-1980,MESH
D000367,906.4732979289743,0.0011266820156680395,0.0031806595010471323,Non-Patent-Cited,16,1975-1980,MESH
D011247,862.1294322311521,0.002615108089878326,0.005312373279594814,Non-Patent-Cited,17,1975-1980,MESH
D006113,739.1035208335322,6.971109461491215e-05,0.0009688783752512646,Non-Patent-Cited,18,1975-1980,MESH
D014586,640.9144791197239,2.4493087297131293e-05,0.00072713483305006,Non-Patent-Cited,19,1975-1980,MESH
D049672,588.938991617488,5.0870258232503454e-05,0.0007585089011676957,Non-Patent-Cited,20,1975-1980,MESH
D005860,568.9308653026068,1.8840836382408687e-05,0.0006350075116410488,Non-Patent-Cited,21,1975-1980,MESH
D011183,526.7065762328095,0.0006217476006194867,0.001794850590521622,Non-Patent-Cited,22,1975-1980,MESH
D001523,449.2896306809712,9.797234918852517e-05,0.0007308525694455023,Non-Patent-Cited,23,1975-1980,MESH
D013577,439.93853132761336,0.00025058312388603557,0.001033984100420231,Non-Patent-Cited,24,1975-1980,MESH
D003695,432.37025378021195,1.8840836382408687e-05,0.0004986300594765282,Non-Patent-Cited,25,1975-1980,MESH
D012106,427.1937574364007,7.536334552963475e-05,0.0006523267226539632,Non-Patent-Cited,26,1975-1980,MESH
D011379,426.163074434729,0.00037116447673345116,0.0012318402178557258,Non-Patent-Cited,27,1975-1980,MESH
D012737,419.56381739702954,0.0005671091751105015,0.0015451275165448337,Non-Patent-Cited,28,1975-1980,MESH
D007603,405.65010422750146,5.652250914722606e-06,0.0004217363896390858,Non-Patent-Cited,29,1975-1980,MESH
D049711,386.07041436157726,7.5363345529634756e-06,0.00041058318045275865,Non-Patent-Cited,30,1975-1980,MESH
D001483,8542.751086193484,0.004704831139032448,0.0006085887840014781,Patent-Cited,1,1980-1985,MESH
D003001,6900.644408423888,0.0030854426016116666,0.0002808809946872728,Patent-Cited,2,1980-1985,MESH
D000595,6061.320247960344,0.0033226146285499965,0.00042678594762195665,Patent-Cited,3,1980-1985,MESH
D051379,6057.223323777989,0.012545848662184299,0.005218674749061829,Patent-Cited,4,1980-1985,MESH
D010957,5999.898432326676,0.003062276961771179,0.00035179925775940727,Patent-Cited,5,1980-1985,MESH
D004262,5195.277547853942,0.0029089424885412815,0.00038562304127187636,Patent-Cited,6,1980-1985,MESH
D013329,5150.939583118105,0.0036138398151161315,0.0006445664405206374,Patent-Cited,7,1980-1985,MESH
D002460,5146.100386361537,0.005320375283365416,0.0013981029005649369,Patent-Cited,8,1980-1985,MESH
D000911,4738.650782549223,0.003137289509826092,0.0005216361329906494,Patent-Cited,9,1980-1985,MESH
D005796,4481.341640088358,0.0030280800648637917,0.0005162913370110848,Patent-Cited,10,1980-1985,MESH
D008970,4271.182246218221,0.004780946812794052,0.0013410651524248063,Patent-Cited,11,1980-1985,MESH
D004926,4215.204202256032,0.0041698151712878445,0.0010548393617579688,Patent-Cited,12,1980-1985,MESH
D000818,3962.595808547707,0.043377109038460475,0.030586193291116358,Patent-Cited,13,1980-1985,MESH
D055598,3157.0395494617987,0.003839980584987562,0.0011484131779375118,Patent-Cited,14,1980-1985,MESH
D007700,3142.023120770472,0.009299349707395906,0.004551692074656748,Patent-Cited,15,1980-1985,MESH
D002621,3046.14997055349,0.0033182021257232366,0.000910609643384044,Patent-Cited,16,1980-1985,MESH
D009693,2799.1193124143174,0.0019062012211601574,0.00032810665468581456,Patent-Cited,17,1980-1985,MESH
D012333,2742.906227489936,0.002048504437323155,0.0003924835256635564,Patent-Cited,18,1980-1985,MESH
D004274,2573.770769679061,0.0014384759215236372,0.00019017900918331677,Patent-Cited,19,1980-1985,MESH
D004247,2319.5938518377975,0.003342470891270415,0.001125917170978747,Patent-Cited,20,1980-1985,MESH
D014158,2230.715879339065,0.0017782386391841283,0.0003655999996170892,Patent-Cited,21,1980-1985,MESH
D005814,2102.634957053621,0.0015123853438718609,0.00027769007171439834,Patent-Cited,22,1980-1985,MESH
D004279,2053.783498034256,0.0016568948114482386,0.0003449387733677272,Patent-Cited,23,1980-1985,MESH
D002478,2039.058645112851,0.004438977843720181,0.0018933341459550503,Patent-Cited,24,1980-1985,MESH
D014764,2010.5036679247196,0.0016293166687809909,0.0003407905735029904,Patent-Cited,25,1980-1985,MESH
D009876,1930.7519703362655,0.0009277287193262109,9.62861007064863e-05,Patent-Cited,26,1980-1985,MESH
D009154,1804.682977547412,0.00258021102794769,0.000864660352574652,Patent-Cited,27,1980-1985,MESH
D005786,1799.3484603595475,0.0013193383452011274,0.0002476156226950567,Patent-Cited,28,1980-1985,MESH
D004591,1784.0248440527612,0.0025029922284793963,0.0008282838306838834,Patent-Cited,29,1980-1985,MESH
D005798,1778.8564032855836,0.0009861943817807757,0.0001288335150298056,Patent-Cited,30,1980-1985,MESH
D006801,11485.022440259832,0.042106308224353704,0.07058497116761775,Non-Patent-Cited,1,1980-1985,MESH
D000328,7040.197937154146,0.010872406965135712,0.023238694280701345,Non-Patent-Cited,2,1980-1985,MESH
D005260,6850.2761270053925,0.020453053727737543,0.03605846664344738,Non-Patent-Cited,3,1980-1985,MESH
D008297,6251.131220317591,0.02214414543609317,0.03742466031428358,Non-Patent-Cited,4,1980-1985,MESH
D008875,5608.117479918019,0.008138861463958126,0.017761474997762365,Non-Patent-Cited,5,1980-1985,MESH
D002648,5204.383268486244,0.0025250547426131946,0.008654899925475993,Non-Patent-Cited,6,1980-1985,MESH
D000293,4621.062535837007,0.0036921617402911147,0.010092650043978895,Non-Patent-Cited,7,1980-1985,MESH
D014481,4506.482502749426,0.0003596189803809093,0.003800389260693461,Non-Patent-Cited,8,1980-1985,MESH
D000368,3971.9746185290996,0.005076584502186947,0.011577147184034409,Non-Patent-Cited,9,1980-1985,MESH
D002675,2964.5547984504437,0.0014958384582715123,0.005030170974439271,Non-Patent-Cited,10,1980-1985,MESH
D003937,2431.3553215577467,0.0002515126611252985,0.002196950466824054,Non-Patent-Cited,11,1980-1985,MESH
D007223,2337.152364872025,0.0012487382999729734,0.00408541845524547,Non-Patent-Cited,12,1980-1985,MESH
D007231,1996.5749560844515,0.0010810631925561077,0.0035145623353982328,Non-Patent-Cited,13,1980-1985,MESH
D011859,1501.2668648904366,0.0005636972361185419,0.0022014975320604,Non-Patent-Cited,14,1980-1985,MESH
D011247,1223.4594844137805,0.0026055829192015577,0.005038946012614676,Non-Patent-Cited,15,1980-1985,MESH
D006113,1172.504602453157,6.618754240139436e-05,0.0009137207932825966,Non-Patent-Cited,16,1980-1985,MESH
D049673,1088.2079581365097,0.00014120009045630796,0.0010521270772310255,Non-Patent-Cited,17,1980-1985,MESH
D000367,977.104004160482,0.0008019723887635616,0.0021678332946965745,Non-Patent-Cited,18,1980-1985,MESH
D011379,882.7865222842029,0.0005339128420379144,0.0016485903539355806,Non-Patent-Cited,19,1980-1985,MESH
D011183,842.9627971195214,0.0005923785044924794,0.0017104942596093448,Non-Patent-Cited,20,1980-1985,MESH
D001523,824.5769010238915,6.729066810808425e-05,0.0006992907695054341,Non-Patent-Cited,21,1980-1985,MESH
D049711,810.2623768576804,5.515628533449529e-06,0.0004938751031266418,Non-Patent-Cited,22,1980-1985,MESH
D014057,780.0223342725558,0.00042360027136892386,0.0013752080282345629,Non-Patent-Cited,23,1980-1985,MESH
D012106,765.7849535316366,6.949691952146407e-05,0.0006675410859253334,Non-Patent-Cited,24,1980-1985,MESH
D012306,762.2929247169417,0.0005482534762248832,0.0015672218181272824,Non-Patent-Cited,25,1980-1985,MESH
D049672,741.1457224168114,5.956878816125492e-05,0.0006261388603522875,Non-Patent-Cited,26,1980-1985,MESH
D005500,715.010954837971,0.0006453285384135949,0.0016781861645089912,Non-Patent-Cited,27,1980-1985,MESH
D009784,688.0133951684778,5.846566245456501e-05,0.0005895230192385532,Non-Patent-Cited,28,1980-1985,MESH
D012959,671.0618171560534,3.7506274027456796e-05,0.0005218754522136151,Non-Patent-Cited,29,1980-1985,MESH
D003710,627.8358364493467,1.9856262720418304e-05,0.00044162373944582286,Non-Patent-Cited,30,1980-1985,MESH
D000595,23925.663615662015,0.007439407069442696,0.000876999445488539,Patent-Cited,1,1985-1990,MESH
D001483,23566.490840064987,0.007878253699026514,0.0010421404728615802,Patent-Cited,2,1985-1990,MESH
D008969,18078.06511300409,0.005967943827631413,0.0007743442122566485,Patent-Cited,3,1985-1990,MESH
D003001,16319.059674601458,0.005014949177733502,0.0005796923034288846,Patent-Cited,4,1985-1990,MESH
D002460,10369.509539106417,0.00616051787605638,0.0015838616647121536,Patent-Cited,5,1985-1990,MESH
D004247,9862.417034670005,0.005589585200437489,0.0013776185744552212,Patent-Cited,6,1985-1990,MESH
D051379,9832.688852085637,0.011482227637338627,0.004686767640512432,Patent-Cited,7,1985-1990,MESH
D005796,9030.952589047502,0.003654586348475085,0.0006288549005250139,Patent-Cited,8,1985-1990,MESH
D000911,8794.538761761552,0.005244556697009424,0.001352837427951481,Patent-Cited,9,1985-1990,MESH
D010957,8563.91074398906,0.0032898066605931775,0.000529663698524829,Patent-Cited,10,1985-1990,MESH
D013329,8010.654999394381,0.0032645004555116913,0.0005666355703247636,Patent-Cited,11,1985-1990,MESH
D004926,7179.118894274821,0.0038928350109495627,0.0009206995317962095,Patent-Cited,12,1985-1990,MESH
D008970,7174.984635209734,0.004410686378348751,0.0011680446849370333,Patent-Cited,13,1985-1990,MESH
D014158,6737.729426286058,0.003006500608583371,0.0005809580071481616,Patent-Cited,14,1985-1990,MESH
D005786,6705.013220575819,0.0031114287759944105,0.0006279888927170875,Patent-Cited,15,1985-1990,MESH
D012333,6465.212120349941,0.0031601895126148346,0.000674153770478087,Patent-Cited,16,1985-1990,MESH
D000818,6158.01204313639,0.040262172284644196,0.028541085941815467,Patent-Cited,17,1985-1990,MESH
D012689,5807.204799501422,0.001860314685746311,0.0002302248449379712,Patent-Cited,18,1985-1990,MESH
D009154,5053.570611208854,0.00323795980140184,0.0008878578510802315,Patent-Cited,19,1985-1990,MESH
D005798,4899.5775719326175,0.0018220467658669906,0.00028091960969427795,Patent-Cited,20,1985-1990,MESH
D011994,4848.411036572255,0.0019115443204234654,0.0003182911774055632,Patent-Cited,21,1985-1990,MESH
D005822,4722.541598442645,0.0011887744143156585,9.359545924127591e-05,Patent-Cited,22,1985-1990,MESH
D014162,4674.112759907169,0.0014227025051908582,0.0001618102281117859,Patent-Cited,23,1985-1990,MESH
D011401,4611.6258981747515,0.0015529368776833836,0.0002077086419318849,Patent-Cited,24,1985-1990,MESH
D009693,4550.375869660095,0.0024466779742197665,0.0005740299446847506,Patent-Cited,25,1985-1990,MESH
D004262,4521.294838458527,0.001967094526699898,0.00036925240610277037,Patent-Cited,26,1985-1990,MESH
D005814,4127.948748212252,0.0015856497769350605,0.0002552724553826116,Patent-Cited,27,1985-1990,MESH
D000939,4118.051777365768,0.001958453383501342,0.00040589119797657943,Patent-Cited,28,1985-1990,MESH
D007700,3557.060152390897,0.006520976992339009,0.0032696457868187216,Patent-Cited,29,1985-1990,MESH
D055598,3506.5572241231084,0.0024911181392409127,0.0007413692995702203,Patent-Cited,30,1985-1990,MESH
D006801,21440.491304927098,0.043037830924923276,0.07300552406395881,Non-Patent-Cited,1,1985-1990,MESH
D005260,14986.882199682317,0.017883463073926215,0.03484748803110593,Non-Patent-Cited,2,1985-1990,MESH
D000328,13813.690801547833,0.009847817123783142,0.022692535518977163,Non-Patent-Cited,3,1985-1990,MESH
D008297,12934.545239207691,0.020240643493589505,0.03655998516328777,Non-Patent-Cited,4,1985-1990,MESH
D008875,10619.858909504146,0.007821469043721717,0.01781584570458795,Non-Patent-Cited,5,1985-1990,MESH
D002648,9227.43739146908,0.0019282093823063953,0.007645583240270802,Non-Patent-Cited,6,1985-1990,MESH
D014481,9122.366130538128,0.00034934907502734305,0.004212328593739216,Non-Patent-Cited,7,1985-1990,MESH
D000293,8821.411154082973,0.002842936112324986,0.009080225098078714,Non-Patent-Cited,8,1985-1990,MESH
D000368,7506.913845983312,0.005148886897311123,0.012030846931654397,Non-Patent-Cited,9,1985-1990,MESH
D002675,4995.407691131529,0.001170257678890181,0.004371007870545423,Non-Patent-Cited,10,1985-1990,MESH
D007223,3820.7461337623076,0.0010282960406281865,0.003581341981686999,Non-Patent-Cited,11,1985-1990,MESH
D007231,3495.08708771721,0.0008320186451181244,0.0030821884043952695,Non-Patent-Cited,12,1985-1990,MESH
D003937,3351.184964474996,0.00023022474379010417,0.001807957839009415,Non-Patent-Cited,13,1985-1990,MESH
D011247,2976.229150504275,0.001675764556005718,0.004216725248764074,Non-Patent-Cited,14,1985-1990,MESH
D011859,2449.4957417280857,0.0004265021393001662,0.0018679788416972368,Non-Patent-Cited,15,1985-1990,MESH
D014057,2427.679975048015,0.00034070793182878686,0.0016892481533382735,Non-Patent-Cited,16,1985-1990,MESH
D006113,2117.0690086245177,5.246408370551971e-05,0.0008944528336175171,Non-Patent-Cited,17,1985-1990,MESH
D049673,2009.8133794714772,0.00010492816741103943,0.001002304113696966,Non-Patent-Cited,18,1985-1990,MESH
D005500,1953.1857629692813,0.0007912818271820738,0.0022797322463736255,Non-Patent-Cited,19,1985-1990,MESH
D011379,1946.5065688144282,0.0005900666355585512,0.0019398574897551276,Non-Patent-Cited,20,1985-1990,MESH
D011183,1844.137502329045,0.0005122963467715455,0.0017566635303860822,Non-Patent-Cited,21,1985-1990,MESH
D000367,1592.0685423515683,0.0006505546379484445,0.0018673126818449857,Non-Patent-Cited,22,1985-1990,MESH
D012189,1507.4498821561906,0.0003240428699458571,0.0012657703352622657,Non-Patent-Cited,23,1985-1990,MESH
D012106,1488.0931053001425,4.690906307787645e-05,0.0006586322459206369,Non-Patent-Cited,24,1985-1990,MESH
D014463,1438.8261701886518,0.00034564572794224755,0.0012744970293267549,Non-Patent-Cited,25,1985-1990,MESH
D012307,1368.552221257531,0.000425267690271801,0.0013817487655391778,Non-Patent-Cited,26,1985-1990,MESH
D003131,1245.6463917141273,0.0004042820567895931,0.001287020834549075,Non-Patent-Cited,27,1985-1990,MESH
D012306,1242.1678576819154,0.00037033470850955094,0.0012271996798169287,Non-Patent-Cited,28,1985-1990,MESH
D009784,1231.9609121045678,8.332530941464896e-05,0.0006614967332853165,Non-Patent-Cited,29,1985-1990,MESH
D003906,1208.833581119131,2.4688980567303395e-05,0.0004941573783998468,Non-Patent-Cited,30,1985-1990,MESH
D008969,67780.25132964455,0.01996071465115382,0.004339171836203605,Patent-Cited,1,1990-1995,MESH
D000595,48999.59608683087,0.012690408973565423,0.0023884275002216434,Patent-Cited,2,1990-1995,MESH
D001483,46001.65522461695,0.013528451684220944,0.0029366242623973895,Patent-Cited,3,1990-1995,MESH
D003001,25457.047076266826,0.005777395324338967,0.000917845693203268,Patent-Cited,4,1990-1995,MESH
D051379,17377.24684357137,0.010610734528668073,0.00407919588243819,Patent-Cited,5,1990-1995,MESH
D002460,14476.46939294959,0.004981959268708766,0.0012617716316077408,Patent-Cited,6,1990-1995,MESH
D014162,12341.538936778605,0.0027949294725665144,0.00044272688828341785,Patent-Cited,7,1990-1995,MESH
D004247,11634.370334356056,0.005076230686520697,0.001564226950097058,Patent-Cited,8,1990-1995,MESH
D015183,11086.492123478283,0.003030104788887379,0.0006071522921091834,Patent-Cited,9,1990-1995,MESH
D011994,10811.38678608876,0.0038037342887959594,0.000982797650610924,Patent-Cited,10,1990-1995,MESH
D000818,10224.83956482554,0.03632368309371283,0.02547131079326683,Patent-Cited,11,1990-1995,MESH
D013329,10163.010513879613,0.0025852510521663136,0.0004761275497285972,Patent-Cited,12,1990-1995,MESH
D016133,9768.787523588586,0.003862779731980656,0.001102502034582238,Patent-Cited,13,1990-1995,MESH
D012333,9450.478846604876,0.004406266197657976,0.0014250201664899682,Patent-Cited,14,1990-1995,MESH
D004926,9444.261672712293,0.00349072634282254,0.0009417753617218781,Patent-Cited,15,1990-1995,MESH
D015870,9026.442027671343,0.0030797566388381468,0.0007738753924437617,Patent-Cited,16,1990-1995,MESH
D017386,9017.525294533572,0.0021242940127585127,0.00035491004854416267,Patent-Cited,17,1990-1995,MESH
D012689,8939.483592454797,0.002418179286791434,0.0004788735772635197,Patent-Cited,18,1990-1995,MESH
D010957,8474.352529941685,0.0024775602154487705,0.0005344666245011337,Patent-Cited,19,1990-1995,MESH
D014407,8178.335087514975,0.0038668055576523397,0.001262948500551279,Patent-Cited,20,1990-1995,MESH
D011993,8122.7768850239945,0.0016432078449922923,0.0002203546993329619,Patent-Cited,21,1990-1995,MESH
